Date,Close
24 02 2016,474.7999878
25 02 2016,471.3250122
26 02 2016,480.5
29 02 2016,485.9249878
01 03 2016,492.0750122
02 03 2016,503.6000061
03 03 2016,507.9249878
04 03 2016,510.2749939
08 03 2016,507.0750122
09 03 2016,512.4000244
10 03 2016,510.625
11 03 2016,514.3499756
14 03 2016,513.7750244
15 03 2016,513.3499756
16 03 2016,515.2249756
17 03 2016,509.2000122
18 03 2016,514.2000122
21 03 2016,522.7999878
22 03 2016,526.9249878
23 03 2016,524.6749878
28 03 2016,523.75
29 03 2016,526.9000244
30 03 2016,532.4749756
31 03 2016,535.5750122
01 04 2016,532.2249756
04 04 2016,534.5250244
05 04 2016,528.7249756
06 04 2016,530.75
07 04 2016,527.75
08 04 2016,529.6749878
11 04 2016,535.4749756
12 04 2016,531.5
13 04 2016,540.875
18 04 2016,543.9000244
20 04 2016,548.9249878
21 04 2016,545.5750122
22 04 2016,546.0750122
25 04 2016,546.625
26 04 2016,556.9249878
27 04 2016,562.0999756
28 04 2016,556.9749756
29 04 2016,566.1749878
02 05 2016,558.8250122
03 05 2016,559
04 05 2016,563.6749878
05 05 2016,566.1500244
06 05 2016,559.8250122
09 05 2016,570.7000122
10 05 2016,572.4500122
11 05 2016,569.4000244
12 05 2016,574.5499878
13 05 2016,570.4500122
16 05 2016,581.4000244
17 05 2016,576.7249756
18 05 2016,570.3250122
19 05 2016,569.6500244
20 05 2016,570.4500122
23 05 2016,568.375
24 05 2016,569.9749756
25 05 2016,586.6500244
26 05 2016,591.625
27 05 2016,593.4000244
30 05 2016,589.875
31 05 2016,590.9500122
01 06 2016,587.5750122
02 06 2016,587.4749756
03 06 2016,585.875
06 06 2016,585.5499878
07 06 2016,586.8499756
08 06 2016,581.2999878
09 06 2016,579.7000122
10 06 2016,580.6749878
13 06 2016,576.4500122
14 06 2016,575.9249878
15 06 2016,584.7750244
16 06 2016,581.0750122
17 06 2016,585
20 06 2016,586.0250244
21 06 2016,583.3250122
22 06 2016,585.75
23 06 2016,595.0499878
24 06 2016,580.9500122
27 06 2016,579.9749756
28 06 2016,583.4749756
29 06 2016,584.1500244
30 06 2016,588.2249756
01 07 2016,587.25
04 07 2016,586.4000244
05 07 2016,582.7999878
07 07 2016,592.8250122
08 07 2016,587.4249878
11 07 2016,599.875
12 07 2016,601.0750122
13 07 2016,598.875
14 07 2016,600.1749878
15 07 2016,611.8499756
18 07 2016,613.7249756
19 07 2016,609.1749878
20 07 2016,616.0999756
21 07 2016,614.2999878
22 07 2016,615.4000244
25 07 2016,623.4749756
26 07 2016,619.4000244
27 07 2016,618.4749756
28 07 2016,624.2249756
29 07 2016,623.0999756
01 08 2016,621.1500244
02 08 2016,621.6500244
03 08 2016,620.2249756
04 08 2016,620.5
05 08 2016,624.625
08 08 2016,624.7999878
09 08 2016,623.5999756
10 08 2016,613.4500122
11 08 2016,614.125
12 08 2016,614.3499756
16 08 2016,613.6500244
17 08 2016,617.4500122
18 08 2016,626.25
19 08 2016,623.5499878
22 08 2016,625.1500244
23 08 2016,625.7249756
24 08 2016,630.9000244
25 08 2016,629.2750244
26 08 2016,628.5499878
29 08 2016,619.0499878
30 08 2016,634.3250122
31 08 2016,645.5999756
01 09 2016,641.8499756
02 09 2016,642.5499878
06 09 2016,650.2000122
07 09 2016,643.375
08 09 2016,644.7000122
09 09 2016,645.2000122
12 09 2016,639.9500122
14 09 2016,634.7249756
15 09 2016,639.7999878
16 09 2016,648.9249878
19 09 2016,645.0750122
20 09 2016,644.2249756
21 09 2016,646.5
22 09 2016,653.4500122
23 09 2016,656.3499756
26 09 2016,648.0750122
27 09 2016,649.0250244
28 09 2016,647.625
29 09 2016,638.75
30 09 2016,636.4249878
03 10 2016,643.5999756
04 10 2016,644.7750244
05 10 2016,643.0499878
06 10 2016,640.9749756
07 10 2016,640.2999878
10 10 2016,642.1749878
13 10 2016,631.375
14 10 2016,630.9000244
17 10 2016,618.8499756
18 10 2016,628.9249878
19 10 2016,629.1749878
20 10 2016,627.75
21 10 2016,635.3499756
24 10 2016,631.7750244
25 10 2016,625.1500244
26 10 2016,619.6500244
27 10 2016,626.0499878
28 10 2016,629.5250244
01 11 2016,629.9000244
02 11 2016,623.0750122
03 11 2016,627.4749756
04 11 2016,621.8499756
07 11 2016,624.7249756
08 11 2016,627.1500244
09 11 2016,625.625
10 11 2016,639.2750244
11 11 2016,637.9000244
15 11 2016,627.375
16 11 2016,622.1749878
17 11 2016,615.0999756
18 11 2016,605.7000122
21 11 2016,599.3499756
22 11 2016,599.0250244
23 11 2016,592.375
24 11 2016,582.75
25 11 2016,594.6500244
28 11 2016,592.2249756
29 11 2016,589.375
30 11 2016,599.7999878
01 12 2016,598.625
02 12 2016,594.5499878
05 12 2016,598.1749878
06 12 2016,597.2249756
07 12 2016,590.7999878
08 12 2016,599.75
09 12 2016,599.1500244
12 12 2016,592.2249756
13 12 2016,593.125
14 12 2016,587.8499756
15 12 2016,588.2999878
16 12 2016,591.1500244
19 12 2016,588.375
20 12 2016,590.9500122
21 12 2016,590
22 12 2016,586.5499878
23 12 2016,593.125
26 12 2016,587.5
